iter	RMSE
0	856973.073
1	832675.6145
2	810014.1388
3	788405.0586
4	767593.7934
5	749802.686
6	730920.8285
7	713601.2314
8	697422.3754
9	680549.3974
10	666379.499
11	650974.8614
12	637291.6754
13	623988.0076
14	612179.997
15	599612.7852
16	588674.3407
17	577904.9499
18	568847.748
19	558851.3447
20	549009.2541
21	540722.2989
22	533685.1718
23	526824.2248
24	518610.891
25	512606.027
26	505221.3916
27	497363.0237
28	490287.6428
29	484309.4766
30	478288.6752
31	472096.4868
32	465719.9812
33	460022.3456
34	455244.6535
35	450591.729
36	445632.649
37	441302.9078
38	436933.798
39	432712.3155
40	428608.238
41	425817.9982
42	421988.3601
43	418705.1274
44	416135.1822
45	412405.5968
46	409306.9965
47	405685.4754
48	402930.9629
49	399749.5196
50	396311.4753
51	394011.5835
52	390953.8087
53	388926.642
54	385792.0094
55	383610.1098
56	381232.2039
57	379373.0288
58	377564.8265
59	375442.3841
60	373376.8331
61	371917.2259
62	369847.2475
63	367776.5332
64	366238.4783
65	365074.4033
66	363297.2674
67	361918.9232
68	360087.9551
69	358608.9235
70	357692.4245
71	356160.6642
72	354725.8964
73	353307.6589
74	351923.5721
75	350844.5135
76	349485.2514
77	348337.809
78	347188.5647
79	345831.2137
80	344364.362
81	343293.706
82	342057.8767
83	341137.8679
84	340178.5799
85	339080.3625
86	338312.7232
87	337340.1038
88	336338.5624
89	335570.817
90	334665.7971
91	333741.8113
92	333021.113
93	331643.6234
94	330882.6621
95	330138.7003
96	329344.8887
97	328615.7663
98	328057.7573
99	327113.3462
100	326375.553
101	325660.9183
102	324916.9963
103	323862.8424
104	323170.0323
105	322569.5391
106	321743.1427
107	321214.8999
108	320775.1966
109	320303.7083
110	319759.3826
111	319135.9429
112	318666.5092
113	318200.2281
114	317602.613
115	317180.5113
116	316597.8984
117	316312.0633
118	315603.7234
119	315297.1171
120	314858.2898
121	314553.0519
122	313828.317
123	313511.359
124	312960.4908
125	312460.5499
126	312029.1542
127	311572.5585
128	311104.0977
129	310787.2973
130	310612.4165
131	310117.0474
132	309502.9867
133	309050.7949
134	308284.351
135	307667.2552
136	307350.1258
137	306828.8451
138	306254.9154
139	305841.47
140	305419.156
141	304605.7263
142	303896.1374
143	303397.1334
144	303166.2192
145	302661.1513
146	301785.082
147	301215.6326
148	300796.4595
149	300156.9789
150	299719.1647
151	299372.0678
152	298928.0365
153	298548.616
154	298018.597
155	297577.8063
156	297152.2494
157	296852.4451
158	296526.4817
159	295856.2512
160	295512.5294
161	295166.2677
162	294751.4959
163	293997.2312
164	293761.4916
165	293184.1873
166	292807.3754
167	292431.2987
168	292022.1219
169	291732.3164
170	291272.3994
171	290459.7565
172	290100.1577
173	289310.444
174	288827.2529
175	288490.6698
176	288239.4684
177	287818.5209
178	287525.4163
179	286932.5102
180	286632.9321
181	286388.7933
182	286015.2654
183	285442.527
184	285213.1765
185	284916.3638
186	284556.6597
187	284348.9333
188	284094.2552
189	283809.7158
190	283411.1536
191	282792.3899
192	282563.628
193	281991.4412
194	281567.0645
195	281200.5004
196	280821.5119
197	280541.8608
198	280374.6741
199	280094.6862
200	279924.6975
201	279488.8583
202	279084.0889
203	278771.4895
204	278234.2121
205	277909.1503
206	277673.0343
207	277215.5885
208	277047.524
209	276417.9404
210	275941.942
211	275523.602
212	275107.7648
213	274771.3656
214	274346.8846
215	273951.9799
216	273525.7954
217	273322.5972
218	273190.2871
219	272982.0348
220	272756.0889
221	272508.7976
222	271960.5627
223	271431.854
224	270897.3528
225	270671.408
226	270478.3978
227	270366.4977
228	269863.3571
229	269314.4845
230	268828.707
231	268307.8666
232	267808.0442
233	267605.1629
234	267331.4671
235	267120.544
236	266728.9181
237	266429.4578
238	265836.7973
239	265400.686
240	265251.4244
241	264690.2771
242	264153.8273
243	263500.0613
244	263243.4594
245	262847.3772
246	262222.5146
247	262042.9822
248	261536.849
249	261303.264
250	260711.2848
251	260505.8439
252	260285.8544
253	259720.496
254	259593.9876
255	259037.5399
256	258842.6154
257	258656.3088
258	258266.1098
259	257793.4262
260	257644.0523
261	257133.2341
262	256737.1331
263	256355.4
264	256208.9779
265	255718.3531
266	255547.6527
267	255400.5567
268	255075.4072
269	254706.7545
270	254358.5519
271	254244.9793
272	254087.4952
273	253602.4329
274	253251.9445
275	252926.3174
276	252632.8756
277	252300.3101
278	251921.9951
279	251451.0596
280	251180.6802
281	250715.2321
282	250341.6996
283	249982.2089
284	249522.1366
285	249224.7591
286	249038.5551
287	248743.8282
288	248566.3746
289	248129.6928
290	247927.6067
291	247775.4299
292	247470.9553
293	247180.846
294	246879.0838
295	246752.3446
296	246591.9514
297	246303.5703
298	246153.1771
299	245876.1522
300	245649.0982
301	245547.6471
302	245326.7071
303	245191.0833
304	245009.981
305	244561.9878
306	244239.615
307	243886.65
308	243763.4972
309	243406.5365
310	243096.3734
311	242840.3209
312	242532.5892
313	242296.5133
314	242011.6063
315	241682.2983
316	241415.7338
317	241196.4269
318	240899.0138
319	240787.2951
320	240540.1774
321	240360.8382
322	240222.2386
323	240135.0074
324	239855.7331
325	239621.0834
326	239478.0996
327	239272.2045
328	239028.7905
329	238799.9981
330	238714.9907
331	238648.7261
332	238497.4203
333	238238.9905
334	238031.0736
335	237814.8443
336	237712.8816
337	237478.9367
338	237260.9018
339	237195.4261
340	237135.7472
341	237079.7654
342	236915.5847
343	236686.26
344	236570.7447
345	236450.1489
346	236256.1135
347	236107.2995
348	235938.4034
349	235815.7089
350	235642.1142
351	235338.7677
352	235115.5237
353	234839.5554
354	234686.4638
355	234559.1125
356	234294.2631
357	234049.0122
358	233895.1879
359	233685.3926
360	233380.7126
361	233115.0337
362	232909.0254
363	232687.5276
364	232491.5639
365	232303.3988
366	232153.662
367	231994.8139
368	231718.2441
369	231416.2383
370	231182.8148
371	230965.7502
372	230736.9677
373	230581.9141
374	230265.2655
375	230174.3459
376	230028.4586
377	229942.1049
378	229860.1686
379	229782.3557
380	229542.7162
381	229422.3358
382	229257.5035
383	229092.7147
384	228783.5059
385	228536.8515
386	228308.9238
387	228107.3688
388	227902.6601
389	227717.9818
390	227519.9567
391	227411.0158
392	227139.041
393	226965.9702
394	226765.0632
395	226558.5739
396	226414.4893
397	226277.2862
398	226036.9081
399	225908.0014
400	225715.3404
401	225622.5261
402	225491.2714
