iter	Passed	Remaining
0	139	139607
1	141	70651
2	143	47642
3	145	36122
4	146	29182
5	148	24583
6	150	21296
7	151	18826
8	153	16905
9	155	15371
10	156	14108
11	158	13070
12	160	12176
13	162	11412
14	163	10757
15	165	10183
16	167	9670
17	168	9208
18	170	8799
19	172	8430
20	173	8096
21	175	7805
22	177	7532
23	179	7281
24	180	7057
25	183	6856
26	184	6657
27	186	6472
28	188	6297
29	189	6139
30	191	5989
31	193	5849
32	195	5716
33	196	5589
34	198	5473
35	200	5360
36	201	5254
37	203	5157
38	205	5061
39	207	4973
40	208	4887
41	210	4805
42	212	4723
43	213	4644
44	215	4573
45	217	4505
46	218	4438
47	220	4375
48	222	4315
49	224	4258
50	226	4208
51	227	4155
52	229	4103
53	231	4053
54	233	4004
55	234	3956
56	236	3909
57	237	3864
58	239	3819
59	241	3780
60	243	3740
61	244	3699
62	246	3660
63	247	3623
64	249	3587
65	251	3552
66	252	3519
67	254	3486
68	255	3452
69	257	3419
70	259	3390
71	260	3360
72	262	3331
73	264	3304
74	265	3277
75	267	3248
76	268	3222
77	270	3197
78	272	3171
79	273	3148
80	275	3125
81	277	3102
82	278	3080
83	280	3058
84	282	3038
85	283	3015
86	285	2994
87	287	2975
88	288	2956
89	290	2936
90	292	2918
91	293	2899
92	295	2880
93	296	2862
94	298	2844
95	300	2827
96	301	2810
97	303	2794
98	305	2780
99	307	2763
100	308	2746
101	310	2735
102	312	2718
103	313	2705
104	315	2693
105	317	2680
106	319	2666
107	321	2652
108	322	2639
109	324	2626
110	326	2612
111	327	2600
112	329	2586
113	331	2576
114	333	2565
115	335	2553
116	336	2541
117	338	2529
118	340	2517
119	341	2503
120	343	2491
121	344	2481
122	346	2471
123	348	2460
124	349	2449
125	351	2439
126	353	2429
127	355	2420
128	356	2410
129	358	2397
130	360	2388
131	361	2379
132	363	2368
133	365	2359
134	367	2352
135	368	2343
136	370	2333
137	372	2324
138	373	2315
139	375	2306
140	377	2298
141	379	2290
142	380	2281
143	382	2273
144	384	2266
145	385	2257
146	387	2248
147	389	2239
148	390	2232
149	392	2224
150	394	2216
151	395	2208
152	397	2200
153	398	2191
154	400	2183
155	402	2175
156	403	2168
157	405	2161
158	407	2155
159	416	2187
160	418	2182
161	420	2174
162	422	2167
163	423	2160
164	425	2153
165	427	2146
166	428	2139
167	430	2133
168	432	2126
169	434	2119
170	435	2113
171	437	2106
172	439	2099
173	441	2093
174	442	2087
175	444	2080
176	446	2074
177	447	2068
178	449	2061
179	451	2054
180	452	2048
181	454	2042
182	456	2036
183	457	2030
184	459	2024
185	461	2018
186	463	2013
187	464	2007
188	466	2001
189	468	1996
190	469	1989
191	471	1983
192	473	1977
193	474	1973
194	476	1967
195	478	1961
196	479	1956
197	481	1951
198	483	1945
199	485	1940
200	486	1935
201	488	1930
202	490	1925
203	492	1920
204	494	1915
205	495	1910
206	497	1906
207	499	1901
208	501	1896
209	503	1892
210	504	1887
211	506	1882
212	507	1876
213	509	1871
214	511	1867
215	513	1862
216	514	1857
217	516	1853
218	518	1848
219	520	1843
220	521	1839
221	523	1834
222	525	1829
223	526	1825
224	528	1821
225	530	1816
226	532	1811
227	533	1807
228	535	1803
229	537	1799
230	539	1795
231	541	1790
232	542	1787
233	544	1783
234	546	1778
235	548	1774
236	550	1770
237	551	1766
238	553	1763
239	555	1759
240	557	1755
241	559	1751
242	561	1747
243	562	1743
244	564	1739
245	566	1735
246	567	1730
247	569	1726
248	571	1722
249	572	1718
250	574	1714
251	576	1710
252	578	1706
253	579	1702
254	581	1698
255	583	1694
256	584	1690
257	586	1686
258	588	1682
259	589	1679
260	591	1675
261	593	1671
262	595	1669
263	597	1665
264	599	1661
265	600	1657
266	602	1654
267	604	1651
268	606	1647
269	608	1643
270	609	1640
271	611	1637
272	613	1633
273	614	1629
274	616	1625
275	618	1621
276	620	1618
277	621	1614
278	623	1610
279	625	1607
280	626	1603
281	628	1599
282	629	1595
283	631	1591
284	633	1588
285	634	1584
286	636	1580
287	637	1576
288	639	1573
289	641	1569
290	642	1566
291	644	1563
292	646	1560
293	648	1556
294	649	1552
295	651	1549
296	652	1545
297	654	1541
298	655	1537
299	657	1533
300	658	1529
301	660	1526
302	662	1523
303	663	1519
304	665	1515
305	666	1511
306	668	1508
307	669	1504
308	671	1501
309	673	1498
310	674	1494
311	676	1491
312	677	1487
313	679	1484
314	680	1480
315	682	1477
316	683	1473
317	685	1470
318	687	1467
319	689	1464
320	690	1461
321	692	1458
322	694	1454
323	695	1451
324	697	1448
325	698	1445
326	700	1441
327	702	1438
328	703	1435
329	705	1431
330	706	1428
331	708	1425
332	709	1421
333	711	1418
334	712	1415
335	714	1411
336	715	1408
337	717	1405
338	719	1402
339	720	1398
340	722	1395
341	723	1392
342	725	1389
343	727	1386
344	728	1383
345	730	1380
346	732	1377
347	733	1374
348	735	1371
349	737	1368
350	738	1365
351	740	1362
352	742	1360
353	744	1357
354	745	1355
355	747	1352
356	749	1349
357	750	1346
358	752	1343
359	753	1340
360	755	1338
361	757	1335
362	759	1332
363	760	1329
364	762	1326
365	763	1322
366	765	1320
367	766	1317
368	768	1313
369	769	1311
370	771	1308
371	773	1305
372	774	1301
373	776	1299
374	777	1296
375	779	1293
376	780	1290
377	782	1287
378	784	1285
379	785	1282
380	787	1279
381	789	1276
382	790	1273
383	792	1270
384	793	1267
385	795	1265
386	796	1262
387	798	1259
388	800	1256
389	801	1253
390	803	1250
391	804	1248
392	806	1245
393	807	1242
394	809	1239
395	810	1236
396	812	1234
397	813	1231
398	815	1228
399	816	1225
400	818	1222
401	820	1219
402	821	1217
403	823	1214
404	824	1211
405	826	1208
406	827	1206
407	829	1203
408	831	1201
409	832	1198
410	834	1196
411	836	1193
412	837	1190
413	839	1188
414	841	1185
415	842	1182
416	844	1179
417	845	1177
418	846	1174
419	848	1171
420	849	1168
421	851	1166
422	852	1163
423	854	1160
424	856	1158
425	857	1155
426	859	1152
427	860	1150
428	862	1147
429	863	1145
430	865	1142
431	866	1139
432	868	1137
433	870	1134
434	871	1132
435	873	1129
436	875	1127
437	876	1124
438	878	1122
439	879	1119
440	881	1117
441	883	1115
442	885	1112
443	886	1110
444	888	1107
445	889	1105
446	891	1103
447	893	1100
448	894	1098
449	896	1095
450	898	1093
451	899	1090
452	901	1088
453	903	1086
454	904	1083
455	906	1080
456	907	1078
457	909	1075
458	910	1073
459	912	1071
460	914	1069
461	916	1066
462	917	1064
463	919	1061
464	920	1059
465	922	1057
466	924	1054
467	926	1053
468	928	1051
469	930	1049
470	932	1046
471	933	1044
472	935	1042
473	937	1040
474	938	1037
475	940	1035
476	942	1033
477	944	1031
478	945	1028
479	947	1026
480	949	1024
481	950	1021
482	952	1019
483	953	1017
484	955	1014
485	957	1012
486	958	1009
487	960	1007
488	961	1005
489	963	1002
490	965	1000
491	966	998
492	968	995
493	969	993
494	971	990
495	972	988
496	974	986
497	976	984
498	978	981
499	979	979
500	981	977
501	982	975
502	984	972
503	986	970
504	987	968
505	989	966
506	991	963
507	992	961
508	994	959
509	996	957
510	998	955
511	1000	953
512	1001	951
513	1003	948
514	1005	946
515	1006	944
516	1008	942
517	1010	939
518	1011	937
519	1013	935
520	1014	933
521	1016	930
522	1018	928
523	1019	926
524	1021	924
525	1023	922
526	1025	920
527	1027	918
528	1028	916
529	1030	914
530	1032	911
531	1034	909
532	1035	907
533	1037	905
534	1039	903
535	1041	901
536	1042	899
537	1044	897
538	1046	894
539	1048	892
540	1050	890
541	1051	888
542	1053	886
543	1055	884
544	1056	882
545	1058	880
546	1060	877
547	1061	875
548	1063	873
549	1065	871
550	1067	869
551	1069	867
552	1070	865
553	1072	863
554	1074	861
555	1075	859
556	1077	856
557	1079	854
558	1081	852
559	1083	851
560	1084	848
561	1086	846
562	1088	844
563	1089	842
564	1091	840
565	1093	838
566	1095	836
567	1097	834
568	1098	832
569	1100	830
570	1102	828
571	1104	826
572	1105	824
573	1107	822
574	1109	820
575	1111	818
576	1113	816
577	1115	814
578	1117	812
579	1118	810
580	1120	808
581	1122	806
582	1124	804
583	1126	802
584	1128	800
585	1130	798
586	1131	796
587	1133	794
588	1135	792
589	1137	790
590	1139	788
591	1141	786
592	1143	784
593	1144	782
594	1146	780
595	1148	778
596	1150	776
597	1151	774
598	1153	772
599	1155	770
600	1156	767
601	1158	765
602	1160	764
603	1162	762
604	1164	760
605	1166	758
606	1168	756
607	1170	754
608	1172	752
609	1173	750
610	1175	748
611	1177	746
612	1178	744
613	1180	742
614	1182	740
615	1184	738
616	1185	736
617	1187	734
618	1189	731
619	1190	729
620	1192	727
621	1194	725
622	1196	723
623	1197	721
624	1199	719
625	1201	717
626	1203	715
627	1205	713
628	1206	711
629	1208	709
630	1210	707
631	1212	705
632	1214	703
633	1215	701
634	1217	699
635	1219	697
636	1221	696
637	1223	694
638	1225	692
639	1226	690
640	1228	688
641	1230	685
642	1231	683
643	1233	681
644	1235	679
645	1236	677
646	1238	675
647	1240	673
648	1242	671
649	1243	669
650	1245	667
651	1246	665
652	1248	663
653	1250	661
654	1252	659
655	1254	657
656	1256	656
657	1258	654
658	1260	652
659	1262	650
660	1264	648
661	1266	646
662	1268	644
663	1269	642
664	1271	640
665	1273	638
666	1274	636
667	1276	634
668	1278	632
669	1279	630
670	1281	628
671	1283	626
672	1285	624
673	1286	622
674	1288	620
675	1290	618
676	1291	616
677	1293	614
678	1295	612
679	1297	610
680	1298	608
681	1300	606
682	1302	604
683	1304	602
684	1306	600
685	1307	598
686	1309	596
687	1311	594
688	1312	592
689	1314	590
690	1316	588
691	1318	586
692	1319	584
693	1321	582
694	1323	580
695	1325	578
696	1327	576
697	1328	574
698	1330	572
699	1331	570
700	1333	568
701	1335	566
702	1337	565
703	1339	563
704	1340	561
705	1342	559
706	1344	557
707	1346	555
708	1348	553
709	1349	551
710	1351	549
711	1353	547
712	1355	545
713	1357	543
714	1358	541
715	1360	539
716	1362	537
717	1364	535
718	1366	533
719	1367	531
720	1369	530
721	1371	528
722	1373	526
723	1374	524
724	1376	522
725	1378	520
726	1380	518
727	1381	516
728	1383	514
729	1385	512
730	1386	510
731	1388	508
732	1390	506
733	1392	504
734	1394	502
735	1395	500
736	1397	498
737	1399	496
738	1400	494
739	1402	492
740	1404	490
741	1405	488
742	1407	486
743	1409	484
744	1410	482
745	1412	480
746	1414	478
747	1415	477
748	1417	475
749	1419	473
750	1421	471
751	1422	469
752	1424	467
753	1426	465
754	1427	463
755	1429	461
756	1431	459
757	1432	457
758	1434	455
759	1436	453
760	1437	451
761	1439	449
762	1441	447
763	1442	445
764	1445	443
765	1447	442
766	1449	440
767	1450	438
768	1452	436
769	1454	434
770	1455	432
771	1457	430
772	1459	428
773	1461	426
774	1462	424
775	1464	422
776	1466	420
777	1467	418
778	1469	416
779	1471	414
780	1473	413
781	1474	411
782	1476	409
783	1478	407
784	1479	405
785	1481	403
786	1483	401
787	1484	399
788	1486	397
789	1488	395
790	1490	393
791	1492	391
792	1493	389
793	1495	388
794	1497	386
795	1499	384
796	1501	382
797	1503	380
798	1505	378
799	1507	376
800	1509	374
801	1510	372
802	1512	371
803	1514	369
804	1516	367
805	1518	365
806	1520	363
807	1522	361
808	1523	359
809	1525	357
810	1527	355
811	1529	354
812	1530	352
813	1532	350
814	1534	348
815	1536	346
816	1538	344
817	1540	342
818	1542	340
819	1544	339
820	1546	337
821	1548	335
822	1550	333
823	1552	331
824	1554	329
825	1556	327
826	1558	326
827	1560	324
828	1562	322
829	1564	320
830	1565	318
831	1567	316
832	1569	314
833	1571	312
834	1573	310
835	1574	308
836	1576	307
837	1578	305
838	1580	303
839	1582	301
840	1583	299
841	1585	297
842	1587	295
843	1589	293
844	1590	291
845	1592	289
846	1594	288
847	1596	286
848	1598	284
849	1600	282
850	1602	280
851	1604	278
852	1605	276
853	1607	274
854	1609	272
855	1610	271
856	1612	269
857	1614	267
858	1616	265
859	1617	263
860	1619	261
861	1621	259
862	1623	257
863	1625	255
864	1626	253
865	1628	252
866	1630	250
