time,province,county,city,area,neighborhood,title,type,price,parking,rooms,sqrm,floor,surface,elevator,tag
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,360000,1,3,182,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,570000,0,5,266,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet en riera i Penya, Arenys de Munt",venta,220000,0,8,320,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en Urbanització Collsacreu, Arenys de Munt",venta,495000,1,6,199,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,575000,1,5,202,None,None,None,Lujo
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de la Generalitat, Arenys de Munt",venta,340000,1,5,178,3,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,475000,0,5,402,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,340000,0,4,218,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,595000,1,5,289,None,None,None,Lujo
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,615000,1,5,289,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,415000,0,6,419,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,340000,1,5,178,None,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet pareado en calle Batlle Trias, Arenys de Munt",venta,615000,0,5,289,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,530000,1,4,261,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Masía en Arenys de Munt,venta,1080000,0,12,750,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,310000,0,5,232,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,212000,0,3,64,1,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,138000,0,3,76,None,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,575000,1,4,240,None,None,None,Lujo
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,1050000,1,5,498,None,None,None,Lujo
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,269900,1,3,168,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle Llorens i Trias, Arenys de Munt",venta,212000,0,3,64,9,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet adosado en calle P.P.3 Castell Jalpí, Arenys de Munt",venta,499300,1,5,289,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,865000,0,11,542,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Masía en Arenys de Munt,venta,222500,0,5,440,None,None,None,None
